nPar,nB,nT,curTask,curDur,rpr,flw,curPreCueDur,curRpt,preTask,preDur,preRpt,prePreCueDur,flwOnLtc,flwOffLtc,flwAfterOff,valid
9,7,18,following,1.3,0.0,1.3054257999974652,0.9,1.3054257999974652,reproduction,1.0,0.8821957000000111,,-0.0116383999993558,-0.0116949000002932,False,1
9,7,19,reproduction,1.2,1.0114797999995062,0.0,,1.0114797999995062,following,1.3,1.3054257999974652,0.9,,,False,1
9,7,20,following,1.3,0.0,1.2348526000023412,1.4,1.2348526000023412,reproduction,1.2,1.0114797999995062,,0.0589443999997456,-0.0116894999991927,False,1
9,7,21,following,0.8,0.0,1.187882999998692,0.9,1.187882999998692,following,1.3,1.2348526000023412,1.4,-0.0351615999970817,0.3529668000010133,False,1
9,7,22,following,1.1,0.0,1.105488699999114,1.0,1.105488699999114,following,0.8,1.187882999998692,0.9,-0.0116388000024016,-0.0116936000013083,False,1
9,7,23,reproduction,0.8,0.9291563000006136,0.0,,0.9291563000006136,following,1.1,1.105488699999114,1.0,,,False,1
9,7,24,following,1.2,0.0,1.2348663000011584,1.3,1.2348663000011584,reproduction,0.8,0.9291563000006136,,-0.0469233000003441,-0.0116916000006312,False,1
9,7,25,reproduction,0.8,0.7174740000009479,0.0,,0.7174740000009479,following,1.2,1.2348663000011584,1.3,,,False,1
9,7,26,following,1.0,0.0,1.1172933999987436,1.4,1.1172933999987436,reproduction,0.8,0.7174740000009479,,0.1412858000003325,0.2588730999996187,False,1
9,7,27,reproduction,0.8,0.8585910000001604,0.0,,0.8585910000001604,following,1.0,1.1172933999987436,1.4,,,False,1
9,7,28,following,1.3,0.0,1.5289976000021852,1.4,1.5289976000021852,reproduction,0.8,0.8585910000001604,,0.0001424000001861,0.2236591000000771,False,1
9,7,29,following,1.1,0.0,1.411361599999509,1.4,1.411361599999509,following,1.3,1.5289976000021852,1.4,-0.0704449000004387,0.2353670000011334,False,1
9,7,30,reproduction,1.1,0.8468568000025698,0.0,,0.8468568000025698,following,1.1,1.411361599999509,1.4,,,False,1
9,7,31,following,0.9,0.0,1.140828599996894,1.1,1.140828599996894,reproduction,1.1,0.8468568000025698,,-0.0351430999980948,0.2000783999974373,False,1
9,7,32,reproduction,1.3,0.9997309999998834,0.0,,0.9997309999998834,following,0.9,1.140828599996894,1.1,,,False,1
9,7,33,reproduction,1.1,1.0232500999991316,0.0,,1.0232500999991316,reproduction,1.3,0.9997309999998834,,,,False,1
9,7,34,reproduction,1.1,0.7997892999992473,0.0,,0.7997892999992473,reproduction,1.1,1.0232500999991316,,,,False,1
9,7,35,following,1.3,0.0,1.41126880000229,1.1,1.41126880000229,reproduction,1.1,0.7997892999992473,,-0.1174763000017264,-0.0116976999997859,False,1
9,7,36,reproduction,1.2,0.9526781999993544,0.0,,0.9526781999993544,following,1.3,1.41126880000229,1.1,,,False,1
9,7,37,reproduction,0.9,0.8115369000006467,0.0,,0.8115369000006467,reproduction,1.2,0.9526781999993544,,,,False,1
9,7,38,following,1.3,0.0,1.3995209999993676,1.0,1.3995209999993676,reproduction,0.9,0.8115369000006467,,-0.1057225000004109,-0.0116884999988542,False,1
9,7,39,following,1.0,0.0,1.3285746000001382,0.8,1.3285746000001382,following,1.3,1.3995209999993676,1.0,-0.093522799998027,0.2353545000005397,False,1
